what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1345048729969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048736895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048737365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048752380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048753593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048770170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345048770207
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345048778247
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345048778397
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345048788894
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1345048792695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345048794158
started,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1345048795221
started,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1345048795248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048796440
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345048797110
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345048797153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345048801303
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1345048801310
